,image_name,cam,moon,celsius,fahr,date
7460,TF_ACULEI_1578_DSCF1467.jpg,1,,,,2021/06/02
7461,TF_ACULEI_12618_DSCF0026.jpg,5,,12°C,53°F,18/11/2022
7462,TF_ACULEI_2732_DSCF2728.jpg,1,,15°C,,2021/06/08
7463,TF_ACULEI_13522_DSCF0275.jpg,6,,2°C,35°F,18/01/2023
7464,TF_ACULEI_12603_IMAG0075.jpg,,,,,
7465,TF_ACULEI_262_DSCF0015.jpg,1,,,,2021/05/17
7466,TF_ACULEI_8887_DSCF0963.jpg,1,,24°C,,2021/07/30
7467,TF_ACULEI_5136_DSCF5423.jpg,1,,,,2021/06/20
7468,TF_ACULEI_1028_DSCF0884.jpg,1,,16°C,,2021/05/27
7469,TF_ACULEI_1561_DSCF1450.jpg,1,,,,2021/06/02
7470,TF_ACULEI_7790_DSCF0073.jpg,1,,16°C,,2021/07/14
7471,TF_ACULEI_12177_DSCF0032.jpg,5,,12°C,53°F,02/10/2022
7472,TF_ACULEI_5925_DSCF6244.jpg,1,,20°C,,2021/06/22
7473,TF_ACULEI_11816_IMAG0060.jpg,,,,,
7474,TF_ACULEI_8536_DSCF0611.jpg,1,,21°C,,2021/07/28
7475,TF_ACULEI_10168_DSCF0018.jpg,4,,,41°F,
7476,TF_ACULEI_11728_DSCF0034.jpg,4,,21°C,69°F,29/07/2022
7477,TF_ACULEI_16202_DSCF0946.jpg,5,,16°C,60°F,24/06/2023
7478,TF_ACULEI_4830_DSCF5101.jpg,1,,18°C,,2021/06/18
7479,TF_ACULEI_11059_DSCF0071.jpg,5,,6°C,42°F,30/04/2022
7480,TF_ACULEI_7165_DSCF7511.jpg,1,,19°C,,2021/07/03
7481,TF_ACULEI_1155_DSCF1009.jpg,1,,17°C,,2021/05/27
7482,TF_ACULEI_6017_DSCF6335.jpg,1,,20°C,,2021/06/22
7483,TF_ACULEI_6882_DSCF7248.jpg,CAMi,,20°C,,2021/06/28
7484,TF_ACULEI_5679_DSCF6001.jpg,CAMi,,22°C,,2021/06/22
7485,TF_ACULEI_13936_DSCF0703.jpg,6,,3°C,27°F,23/01/2023
7486,TF_ACULEI_14174_DSCF0908.jpg,6,,1°C,31°F,27/01/2023
7487,TF_ACULEI_8474_DSCF0549.jpg,1,,21°C,,2021/07/28
7488,TF_ACULEI_4601_DSCF4864.jpg,1,,20°C,,
7489,TF_ACULEI_12132_DSCF0031.jpg,7,,12°C,53°F,29/09/2022
7490,TF_ACULEI_4396_DSCF4660.jpg,1,,,,2021/06/17
7491,TF_ACULEI_15763_DSCF0089.jpg,7,,10°C,50°F,08/05/2023
7492,TF_ACULEI_3924_DSCF4142.jpg,1,,19°C,,2021/06/16
7493,TF_ACULEI_12292_DSCF0202.jpg,4,,13°C,55°F,2022/10/08
7494,TF_ACULEI_8027_DSCF0116.jpg,,,25°C,,2021/07/22
7495,TF_ACULEI_13984_DSCF0751.jpg,6,,3°C,27°F,23/01/2023
7496,TF_ACULEI_3343_DSCF3561.jpg,1,,17°C,,2021/06/15
7497,TF_ACULEI_602_DSCF0454.jpg,,,11°C,,2021/05/25
7498,TF_ACULEI_14748_DSCF0216.jpg,4,,,39°F,2023/02/17
7499,TF_ACULEI_16650_IMAG0100.jpg,,,,,
7500,TF_ACULEI_14965_DSCF0089.jpg,4,,6°C,42°F,2023/03/07
7501,TF_ACULEI_10623_DSCF0043.jpg,4,,2°C,29°F,13/02/2022
7502,TF_ACULEI_5677_DSCF5999.jpg,1,,,,2021/06/22
7503,TF_ACULEI_15059_DSCF0150.jpg,CARES,,4°C,39°F,2023/03/15
7504,TF_ACULEI_7566_DSCF7907.jpg,,,,,2021/07/09
7505,TF_ACULEI_2614_DSCF2618.jpg,1,,,,2021/06/08
7506,TF_ACULEI_15383_DSCF0253.jpg,6,,5°C,23°F,06/04/2023
7507,TF_ACULEI_15642_DSCF0028.jpg,4,,8°C,46°F,2023/04/26
7508,TF_ACULEI_7096_DSCF0026.jpg,1,,18°C,,2021/06/30
7509,TF_ACULEI_7629_DSCF7970.jpg,1,,21°C,,2021/07/09
7510,TF_ACULEI_8591_DSCF0672.jpg,1,,21°C,,2021/07/28
7511,TF_ACULEI_1183_DSCF1049.jpg,1,,16°C,,2021/05/27
7512,TF_ACULEI_15446_IMAG0085.jpg,,,,,
7513,TF_ACULEI_15501_DSCF0180.jpg,4,,8°C,46°F,2023/04/12
7514,TF_ACULEI_5957_DSCF6276.jpg,1,,20°C,,2021/06/22
7515,TF_ACULEI_15551_DSCF0093.jpg,5,,,42°F,16/04/2023
7516,TF_ACULEI_2749_DSCF2753.jpg,1,,14°C,,2021/06/09
